Application_number,claim,claim_yn,prior_art_number,llm_ans
1020227014501,"제 1 항에 있어서,칩 장수 계측 장치로부터 얻은 계측 대상의 칩의 장수로부터 겹쳐 쌓인 계측 대상의 칩의 총액을 계산에 의해 얻는 칩 총액 계측 장치와,화상 기록 장치, 칩 장수 계측 장치에 더하여 칩 총액 계측 장치를 제어하는 관리 제어 장치를 갖는, 칩의 계측 시스템.",0,1020150016077,"청구항 2 및 3 발명에서 부가 한정한 복수의 배치 에어리어는 플레이어 에어리어, 뱅커 에어리어를 포함하고, 이웃하는 배치 에어리어는 1개의 선으로 구획됨으로써 서로 접하는 배치 에어리어를 포함하는 것의 구성은 인용발명 1의 게임테이블은 딜러 영역, 고객 영역으로 구분되고, 고객 영역은 복수의 배치 영역으로 선으로 구획되어 서로 접하는 배치 영역을 포함하는 구성(도면 2 참조)으로부터 통상의 기술자가 쉽게 도출할 수 있습니다."
1020227014501,"제 1 항에 있어서,칩 장수 계측 장치로부터 얻은 계측 대상의 칩의 장수와, 상기 화상 기록 장치의 화상 분석 결과로부터 각각의 칩의 종류를 식별하여 겹쳐 쌓인 계측 대상의 칩의 총액을 계산에 의해 얻는 칩 총액 계측 장치와,화상 기록 장치, 칩 장수 계측 장치에 더하여 칩 총액 계측 장치를 제어하는 관리 제어 장치를 갖는, 칩의 계측 시스템.",0,1020150016077,"청구항 2 및 3 발명에서 부가 한정한 복수의 배치 에어리어는 플레이어 에어리어, 뱅커 에어리어를 포함하고, 이웃하는 배치 에어리어는 1개의 선으로 구획됨으로써 서로 접하는 배치 에어리어를 포함하는 것의 구성은 인용발명 1의 게임테이블은 딜러 영역, 고객 영역으로 구분되고, 고객 영역은 복수의 배치 영역으로 선으로 구획되어 서로 접하는 배치 영역을 포함하는 구성(도면 2 참조)으로부터 통상의 기술자가 쉽게 도출할 수 있습니다."
1020227014501,"제 1 항 내지 제 3 항 중 어느 한 항에 있어서,상기 관리 제어 장치는, 상기 화상 기록 장치를 통하여 각 플레이어가 거는 계측 대상의 칩의 위치, 종류 및 장수를 파악하여, 각 플레이어가 건 모든 칩의 총액을 파악 가능한 구성인, 칩의 계측 시스템.",0,1020150016077,"청구항 4 발명에서 부가 한정한 제1, 2, 카메라는 유기 테이블에 형성된 폴에 설치되는 것의 구성은 인용발명 1의 카메라(11)와 보조카메라(21)가 게임 테이블 위에 설치되는 것(도면 2 참조)으로부터 통상의 기술자가 쉽게 도출할 수 있습니다."
1020227014501,"제 1 항 내지 제 4 항 중 어느 한 항에 있어서,상기 유기 테이블의 딜러의 칩 트레이의 화상을 얻는 칩 트레이용의 카메라를 추가로 구비하고, 칩 트레이용의 카메라의 화상으로부터 상기 칩 트레이의 칩의 총액을 파악하는 칩 트레이의 칩 계측 장치를 추가로 구비한, 칩의 계측 시스템.",0,1020150016077,"청구항 5 및 6 발명에서 부가 한정한 제1, 2, 카메라는 칩 스택의 최상위의 칩의 상면을 촬영 가능하도록 설치되어 있는 것의 구성은 인용발명 1의 카메라(11)와 보조카메라(21)가 복수의 칩 상면을 촬영 가능하게 설치되는 구성(단락번호 0043-0049 및 도면 3 참조)으로부터 통상의 기술자가 쉽게 도출할 수 있습니다."
1020227014501,"제 1 항 내지 제 5 항 중 어느 한 항에 있어서,상기 유기 테이블에 있어서의 매 게임의 승패 결과를 얻는 승패 결과 판정 장치를 추가로 구비하고,상기 관리 제어 장치는, 상기 승패 결과 판정 장치로부터 얻어지는 정보에 의해 진 플레이어가 건 칩의 위치, 종류 및 장수로부터 당해 게임에 있어서의 진 플레이어가 건 칩 총액을 파악 가능한 구성인, 칩의 계측 시스템.",0,1020150016077,"청구항 5 및 6 발명에서 부가 한정한 제1, 2, 카메라는 칩 스택의 최상위의 칩의 상면을 촬영 가능하도록 설치되어 있는 것의 구성은 인용발명 1의 카메라(11)와 보조카메라(21)가 복수의 칩 상면을 촬영 가능하게 설치되는 구성(단락번호 0043-0049 및 도면 3 참조)으로부터 통상의 기술자가 쉽게 도출할 수 있습니다."
1020227014501,"제 9 항 내지 제 11 항 중 어느 한 항에 있어서,상기 착색층을 사이에 두고 양측에 백색층 혹은 박색층을 형성하고, 상기 착색층을 사이에 두고 형성한 백색층 또는 박색층의 상하의 층의 두께를 서로 상이하도록 구성한, 칩의 계측 시스템.",0,1020150016077,"청구항 12 발명에서 부가 한정한 제1, 2 카메라는 화상을 연속해서 생성함으로써 영상을 취득하는 것의 구성은 인용발명 1의 카메라(11)와 보조카메라(21)가 영상을 취득하는 구성(단락번호 0043-0049 및 도면 3 참조)으로부터 통상의 기술자가 쉽게 도출할 수 있습니다."
1020227032058,"제 1 항에 있어서, 셔플된 복수 덱의 카드가 포장된 패키지 상태로 제공되고, 상기 패키지에는 각각 다른 바코드가 마련되고, 상기 바코드로부터 개별의 카드 세트를 특정하는 ID 정보를 읽어내는 읽기 장치를 더 구비한, 카드 폐기 장치.",0,1020197013793,"청구항 2는 청구항 1을 인용하면서 셔플된 복수 덱의 카드가 포장된 패키지 상태로 제공되고, 패키지에는 각각 다른 바코드가 마련되며, 바코드로부터 개별의 카드 세트를 특정하는 ID 정보를 읽어내는 읽기 장치를 부가‧한정하고 있으나, 이는 인용발명 1의 명세서 식별번호 [0043]의 복수의 카드 조로 구성된 카드 세트(3s)는 패키징(404) 상태로 제공되고, 포장에는 각각 개별의 카드 세트(3s)를 특정하는 카드 ID(403)를 읽어내는 바코드 리딩 장치(100)를 더 구비하는 것과 실질적으로 동일합니다."
1020227032058,"제 2 항에 있어서, 상기 폐기 카드 스토커의 하나 또는 복수의 포켓은, 상기 바코드가 상기 포켓에 수납 가능한, 카드 폐기 장치.",0,1020197013793,"청구항 3은 청구항 2를 인용하면서 폐기카드스토커의 하나 또는 복수의 포켓은 바코드가 포켓에 수납 가능한 것을 한정하고 있으나, 이는 인용발명 1의 Fig.2, Fig.6의 폐기카드스토커(19)의 카드 카톤(19c)은 플레이어에 의해 사용된 카드와 딜링 슈 상에 사용되지 않은 카드 모두 수납 가능한 것과 실질적으로 동일합니다."
1020227032058,"제 1 항 또는 제 2 항에 있어서, 상기 폐기 카드 스토커는, 폐기되어야 할 카드의 꺼내기를 방지하는 락 장치를 더 구비하는, 카드 폐기 장치.",0,1020197013793,"청구항 4는 청구항 1 또는 2를 인용하면서 폐기카드스토커는 폐기되어야 할 카드의 꺼내기를 방지하는 락 장치를 부가하고 있으나, 이는 인용발명 1의 명세서 식별번호 [0019]의 폐기카드스토커(19)는 폐기되어야 할 카드의 꺼내기를 방지하는 카드 잠금 장치 수단(27)을 더 구비하는 것과 동일합니다."
1020227032058,"제 1 항 또는 제 2 항에 있어서, 상기 배출구에 투입된 카드에 보이드 홀 혹은 보이드 마크를 부여하는 천공 수단을 더 구비한, 카드 폐기 장치.",0,1020197013793,"청구항 5는 청구항 1 또는 2를 인용하면서 배출구에 투입된 카드에 보이드 홀 혹은 보이드 마크를 부여하는 천공 수단을 부가하고 있으나, 이는 인용발명 1의 명세서 식별번호 [0019]의 방전개구부(4)에 투입된 카드에 보이드홀(H)을 부여하는 보이딩 수단(26)을 더 구비하는 것과 동일합니다."
